name,recipie,category,image_name,image_ext,image_url
Blackberry Teade,"ice
1 oz. Monin Blackberry Syrup
2 oz. lemonade
5 oz. fresh brewed tea

Fill serving glass with ice.
Add remaining ingredients.
Cap and shake vigorously, or transfer from serving glass to other glass and back.
Garnish.",lemonade,1725657571_6246414.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/2/8/2823b7f1-33ff-45d7-9fc6-e6818c367d55-2_1.png
Blackberry Watermelon Lemonade,"ice
3/4 oz. Monin Blackberry Syrup
1/2 oz. Monin Watermelon Syrup
7 oz. lemonade

Fill serving glass with ice.
Add remaining ingredients in the order listed.
Stir well or transfer from serving glass to other glass and back to mix.
Garnish.",lemonade,1725657576_5038297.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/c/c/cc710246-df85-4640-a563-a46529d31b46-1.png
Blood Orange & Winter Citrus Lemonade,"1/2 oz. Monin Blood Orange Syrup
1/2 oz. Monin Winter Citrus Syrup
1/2 oz. orange juice
6 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657581_5203753.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/f/b/fb1edc45-74e0-4cd1-bd91-21b5852fe50f-2.png
Blood Orange Peach Lemonade,"1/2 oz. Monin Blood Orange Purée
1/2 oz. Monin Peach Syrup
6 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657586_435384.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/9/5/950de34f-cff5-409e-bb80-a72a600d0167-2.png
Blood Orange Peach Lemonade,"1/2 oz. Monin Blood Orange Purée
1/2 oz. Monin Peach Syrup
6 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657591_690798.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/9/5/950de34f-cff5-409e-bb80-a72a600d0167-2.png
Blue Ocean Limeade,"2 1/2 oz. Monin Coconut Purée
3/4 oz. Monin Blue Curacao Syrup
2 oz. lemonade
1 1/2 oz. fresh lime juice
ice

Fill serving glass full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657596_7332535.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/9/d/9d5dbcb4-0db9-4306-8571-9c6639bdb851-1_1.png
Blueberry Basil Lemonade,"1/2 oz. Monin Blueberry Purée
3 mL Monin Basil Concentrated Flavor
7 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657601_8413029.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/2/a/2a9f1947-eb92-4690-bf35-1a4a4347900c-2.png
Blueberry Citrus Soda,"5 oz. lemonade
6 mL Monin Blueberry Concentrated Flavor
top club soda

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657606_9407234.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/3/7/37e3cf10-da4c-42f2-afcb-633a212378f9-2.png
Blueberry Hibiscus Lemonade,"1/2 oz. Monin Blueberry Purée
1/2 oz. Monin Hibiscus Syrup
1/2 oz. fresh lemon juice
5 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657611_6874087.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/5/8/586e3c44-e0a6-4b48-8016-1e0f0504b9e1-2_1.png
Bourbon Tea Punch,"ice
1 1/2 oz. bourbon
1 oz. Monin Peach Syrup
2 oz. fresh brewed tea
2 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657617_028541.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/3/2/321dd348-2a01-460f-9a51-48a181430e73-1_1.png
